connected_devices,upload_mbps,download_mbps,latency_ms,packet_loss_percent,bandwidth_usage_percent,throughput_mbps,hour,minute,day_of_week,congestion_level
78,13.17,63.09,53.76,1.9,64.79,76.71,8,0,5,Moderate
6,2.92,14.0,24.63,0.2,14.99,14.09,8,1,5,Normal
117,25.61,63.63,170.75,7.94,71.56,90.5,8,2,5,High
82,11.49,55.97,50.76,2.78,59.8,70.42,8,3,5,Moderate
27,5.71,21.12,22.6,0.33,24.0,27.09,8,4,5,Normal
128,18.89,81.29,130.49,8.58,84.17,100.19,8,5,5,High
44,16.78,47.5,63.68,0.89,52.57,67.17,8,6,5,Moderate
65,7.77,32.14,42.68,2.05,32.59,39.37,8,7,5,Moderate
13,5.63,24.72,20.46,0.45,24.56,26.14,8,8,5,Normal
13,5.07,4.56,17.97,0.56,8.43,12.01,8,9,5,Normal
18,3.94,25.88,17.99,0.55,26.47,28.71,8,10,5,Normal
123,17.32,90.13,179.09,8.75,88.01,107.65,8,11,5,High
74,15.71,45.55,43.67,2.39,50.64,58.78,8,12,5,Moderate
39,25.23,53.32,37.34,3.32,66.27,78.84,8,13,5,Moderate
14,4.69,25.56,26.72,0.19,23.92,32.51,8,14,5,Normal
12,2.86,21.52,20.73,0.66,19.92,24.22,8,15,5,Normal
61,5.04,49.25,44.31,2.2,50.86,56.92,8,16,5,Moderate
8,7.87,17.31,19.46,0.26,21.11,26.04,8,17,5,Normal
54,6.01,47.1,34.85,2.59,43.07,52.56,8,18,5,Moderate
78,16.97,52.1,60.71,1.41,60.72,71.53,8,19,5,Moderate
66,19.21,63.68,74.95,2.55,70.12,84.09,8,20,5,Moderate
27,6.4,13.22,9.87,0.1,18.03,22.23,8,21,5,Normal
85,15.93,78.74,136.58,7.26,81.16,94.83,8,22,5,High
129,26.46,77.66,110.4,8.13,85.27,104.14,8,23,5,High
76,11.65,49.79,84.57,1.91,47.0,60.95,8,24,5,Moderate
29,4.47,14.85,13.88,0.65,18.68,18.99,8,25,5,Normal
23,4.82,22.3,18.02,0.73,18.6,22.48,8,26,5,Normal
12,5.03,17.65,22.14,0.42,20.94,21.92,8,27,5,Normal
6,6.93,23.47,19.64,0.16,25.55,31.79,8,28,5,Normal
75,20.36,52.02,21.24,0.72,59.59,70.01,8,29,5,Moderate
82,8.07,33.91,45.09,4.21,34.17,45.59,8,30,5,Moderate
89,15.96,77.64,78.22,6.71,77.82,91.6,8,31,5,High
8,5.3,15.9,20.2,0.4,19.38,18.56,8,32,5,Normal
30,6.27,15.6,17.94,0.0,18.95,21.23,8,33,5,Normal
29,8.06,20.87,24.05,0.24,27.98,30.44,8,34,5,Normal
10,2.54,37.68,12.44,0.67,30.88,38.11,8,35,5,Normal
8,4.8,25.36,14.1,0.13,23.37,28.73,8,36,5,Normal
18,5.6,40.25,23.32,0.18,36.78,45.48,8,37,5,Normal
26,1.38,10.98,4.5,0.0,10.21,15.0,8,38,5,Normal
31,15.05,67.49,69.74,1.19,70.24,83.59,8,39,5,Moderate
19,6.13,26.48,14.7,0.02,27.35,30.24,8,40,5,Normal
82,9.04,55.92,58.4,2.51,57.24,66.2,8,41,5,Moderate
73,21.42,39.98,50.04,2.94,50.34,61.54,8,42,5,Moderate
31,4.66,7.54,8.64,0.54,8.57,15.23,8,43,5,Normal
42,9.86,43.3,69.62,1.97,43.33,56.63,8,44,5,Moderate
65,13.49,63.99,69.94,1.6,64.33,77.38,8,45,5,Moderate
21,6.3,27.3,21.56,0.68,27.25,36.5,8,46,5,Normal
30,3.75,24.98,18.14,0.15,24.68,31.98,8,47,5,Normal
30,2.15,66.32,27.79,2.72,57.56,68.59,8,48,5,Moderate
5,4.95,11.39,30.02,0.51,12.74,16.68,8,49,5,Normal
18,5.52,4.97,23.07,0.0,6.42,9.16,8,50,5,Normal
29,5.11,14.28,5.49,0.45,15.65,20.89,8,51,5,Normal
63,19.16,40.04,16.33,1.69,50.95,56.85,8,52,5,Moderate
84,15.02,43.9,66.48,3.65,49.85,58.51,8,53,5,Moderate
55,9.2,66.28,49.59,1.98,63.36,72.36,8,54,5,Moderate
53,14.46,63.61,34.17,1.89,61.31,79.56,8,55,5,Moderate
10,5.54,29.01,20.47,0.76,30.11,35.49,8,56,5,Normal
30,11.93,84.53,46.03,2.39,79.33,97.34,8,57,5,Moderate
16,5.65,40.48,13.61,0.53,37.94,45.91,8,58,5,Normal
35,2.42,26.5,20.12,0.78,23.34,29.85,8,59,5,Normal
29,11.73,47.08,52.33,2.82,50.73,55.34,9,0,5,Moderate
33,5.75,18.96,11.24,0.63,22.52,27.21,9,1,5,Normal
57,15.02,61.95,33.92,1.98,65.26,77.7,9,2,5,Moderate
75,14.46,54.13,80.1,3.1,56.52,62.85,9,3,5,Moderate
77,13.47,30.97,76.73,1.02,35.21,45.12,9,4,5,Moderate
48,20.39,43.94,49.86,2.42,57.33,60.58,9,5,5,Moderate
74,15.88,49.81,36.85,3.06,54.33,65.04,9,6,5,Moderate
11,3.84,18.07,22.17,0.36,18.24,23.21,9,7,5,Normal
29,9.46,18.65,8.59,0.62,21.72,30.84,9,8,5,Normal
11,6.99,39.83,23.83,0.31,38.6,46.39,9,9,5,Normal
18,5.36,33.21,12.53,0.51,33.45,40.41,9,10,5,Normal
10,4.46,27.96,12.43,0.08,27.49,29.15,9,11,5,Normal
67,3.31,76.72,101.34,9.8,67.41,78.7,9,12,5,High
20,7.88,10.87,17.14,0.37,18.66,23.4,9,13,5,Normal
20,4.35,17.25,21.06,0.27,20.94,20.81,9,14,5,Normal
32,9.6,21.09,18.54,0.75,27.5,31.4,9,15,5,Normal
33,5.92,15.17,23.93,0.31,14.85,18.52,9,16,5,Normal
83,4.16,34.87,59.64,3.01,28.01,39.01,9,17,5,Moderate
38,23.48,50.05,36.14,1.65,62.17,76.94,9,18,5,Moderate
79,13.57,58.76,62.95,2.7,62.03,70.71,9,19,5,Moderate
73,13.89,55.94,48.76,1.98,56.05,68.59,9,20,5,Moderate
19,2.79,19.17,19.94,0.01,15.94,23.39,9,21,5,Normal
51,19.63,44.5,62.95,1.81,49.23,65.13,9,22,5,Moderate
30,9.0,21.65,18.79,0.32,27.33,31.75,9,23,5,Normal
31,5.42,8.54,13.71,0.63,7.77,13.33,9,24,5,Normal
16,0.1,11.86,16.6,0.25,12.12,11.11,9,25,5,Normal
71,2.33,49.96,67.26,2.5,45.53,52.9,9,26,5,Moderate
7,9.02,12.68,12.24,0.49,16.22,18.32,9,27,5,Normal
25,6.68,19.91,19.42,0.27,21.69,29.32,9,28,5,Normal
32,3.39,7.75,21.31,0.4,7.84,8.01,9,29,5,Normal
24,2.25,19.08,14.23,0.12,19.39,22.87,9,30,5,Normal
82,11.04,50.25,60.1,1.27,49.19,59.0,9,31,5,Moderate
34,5.32,12.69,22.38,0.0,14.57,18.07,9,32,5,Normal
13,4.97,24.73,9.28,0.0,26.81,29.77,9,33,5,Normal
16,7.38,24.77,17.08,0.44,26.55,30.74,9,34,5,Normal
85,1.28,32.55,72.14,1.11,25.42,32.92,9,35,5,Moderate
