timestamp,connected_devices,upload_mbps,download_mbps,latency_ms,packet_loss_percent,bandwidth_usage_percent,throughput_mbps,congestion_level
2026-08-01 08:00:00,78,13.17,63.09,53.76,1.9,64.79,76.71,Moderate
2026-08-01 08:01:00,6,2.92,14.0,24.63,0.2,14.99,14.09,Normal
2026-08-01 08:02:00,117,25.61,63.63,170.75,7.94,71.56,90.5,High
2026-08-01 08:03:00,82,11.49,55.97,50.76,2.78,59.8,70.42,Moderate
2026-08-01 08:04:00,27,5.71,21.12,22.6,0.33,24.0,27.09,Normal
2026-08-01 08:05:00,128,18.89,81.29,130.49,8.58,84.17,100.19,High
2026-08-01 08:06:00,44,16.78,47.5,63.68,0.89,52.57,67.17,Moderate
2026-08-01 08:07:00,65,7.77,32.14,42.68,2.05,32.59,39.37,Moderate
2026-08-01 08:08:00,13,5.63,24.72,20.46,0.45,24.56,26.14,Normal
2026-08-01 08:09:00,13,5.07,4.56,17.97,0.56,8.43,12.01,Normal
2026-08-01 08:10:00,18,3.94,25.88,17.99,0.55,26.47,28.71,Normal
2026-08-01 08:11:00,123,17.32,90.13,179.09,8.75,88.01,107.65,High
2026-08-01 08:12:00,74,15.71,45.55,43.67,2.39,50.64,58.78,Moderate
2026-08-01 08:13:00,39,25.23,53.32,37.34,3.32,66.27,78.84,Moderate
2026-08-01 08:14:00,14,4.69,25.56,26.72,0.19,23.92,32.51,Normal
2026-08-01 08:15:00,12,2.86,21.52,20.73,0.66,19.92,24.22,Normal
2026-08-01 08:16:00,61,5.04,49.25,44.31,2.2,50.86,56.92,Moderate
2026-08-01 08:17:00,8,7.87,17.31,19.46,0.26,21.11,26.04,Normal
2026-08-01 08:18:00,54,6.01,47.1,34.85,2.59,43.07,52.56,Moderate
2026-08-01 08:19:00,78,16.97,52.1,60.71,1.41,60.72,71.53,Moderate
2026-08-01 08:20:00,66,19.21,63.68,74.95,2.55,70.12,84.09,Moderate
2026-08-01 08:21:00,27,6.4,13.22,9.87,0.1,18.03,22.23,Normal
2026-08-01 08:22:00,85,15.93,78.74,136.58,7.26,81.16,94.83,High
2026-08-01 08:23:00,129,26.46,77.66,110.4,8.13,85.27,104.14,High
2026-08-01 08:24:00,76,11.65,49.79,84.57,1.91,47.0,60.95,Moderate
2026-08-01 08:25:00,29,4.47,14.85,13.88,0.65,18.68,18.99,Normal
2026-08-01 08:26:00,23,4.82,22.3,18.02,0.73,18.6,22.48,Normal
2026-08-01 08:27:00,12,5.03,17.65,22.14,0.42,20.94,21.92,Normal
2026-08-01 08:28:00,6,6.93,23.47,19.64,0.16,25.55,31.79,Normal
2026-08-01 08:29:00,75,20.36,52.02,21.24,0.72,59.59,70.01,Moderate
2026-08-01 08:30:00,82,8.07,33.91,45.09,4.21,34.17,45.59,Moderate
2026-08-01 08:31:00,89,15.96,77.64,78.22,6.71,77.82,91.6,High
2026-08-01 08:32:00,8,5.3,15.9,20.2,0.4,19.38,18.56,Normal
2026-08-01 08:33:00,30,6.27,15.6,17.94,0.0,18.95,21.23,Normal
2026-08-01 08:34:00,29,8.06,20.87,24.05,0.24,27.98,30.44,Normal
2026-08-01 08:35:00,10,2.54,37.68,12.44,0.67,30.88,38.11,Normal
2026-08-01 08:36:00,8,4.8,25.36,14.1,0.13,23.37,28.73,Normal
2026-08-01 08:37:00,18,5.6,40.25,23.32,0.18,36.78,45.48,Normal
2026-08-01 08:38:00,26,1.38,10.98,4.5,0.0,10.21,15.0,Normal
2026-08-01 08:39:00,31,15.05,67.49,69.74,1.19,70.24,83.59,Moderate
2026-08-01 08:40:00,19,6.13,26.48,14.7,0.02,27.35,30.24,Normal
2026-08-01 08:41:00,82,9.04,55.92,58.4,2.51,57.24,66.2,Moderate
